# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.08            	p               	3.91650326e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94929270e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.1             	p               	3.98113304e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94635094e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.12            	p               	3.91775866e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94541341e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.14            	p               	3.94722304e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94485107e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.16            	p               	3.91832877e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94602583e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.18            	p               	3.92821654e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94878340e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.2             	p               	3.96312560e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94776020e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.22            	p               	3.91263410e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94524542e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.24            	p               	3.99495836e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94548838e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.26            	p               	3.92457854e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94480807e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.28            	p               	3.96493735e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94791718e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.3             	p               	3.91035066e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94898731e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.32            	p               	3.93199399e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94559914e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.34            	p               	3.93828050e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94560566e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.36            	p               	3.91924246e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94445144e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.38            	p               	4.00647571e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94697600e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.4             	p               	3.91811308e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94925050e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.42            	p               	3.97951200e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94664895e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.44            	p               	3.91475510e-01	(5.54690699e-01 8.55293028e-02 -9.92063244e-20)	12	1.94534950e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
2.46            	p               	3.94567441e-01	(5.70315691e-01 8.27914143e-02 1.40075218e-19)	12	1.94501837e+00	(5.46844863e-02 1.70820867e-02 -3.65158145e-20)	13
