# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2               	p               	3.89714884e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94411588e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.02            	p               	3.91263949e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94765872e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.04            	p               	3.88930050e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94462239e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.06            	p               	3.94496183e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94284490e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.08            	p               	3.98745770e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94763243e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.1             	p               	3.94810726e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94374934e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.12            	p               	3.91996514e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94835787e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.14            	p               	3.90092195e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94418824e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.16            	p               	3.90139586e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94435825e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.18            	p               	3.89070919e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94659478e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.2             	p               	3.91083610e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94300052e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.22            	p               	3.98859907e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94853880e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.24            	p               	3.96666389e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94413057e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.26            	p               	3.93238327e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94625199e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.28            	p               	3.90843169e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94548411e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.3             	p               	3.89840447e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94244226e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.32            	p               	3.91225821e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94830730e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.34            	p               	3.89061573e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94411533e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.36            	p               	3.94952170e-01	(5.27344553e-01 8.68314735e-02 -1.46568437e-19)	2	1.94766657e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.38            	p               	3.98001773e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94461701e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.4             	p               	3.94324884e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94285366e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.42            	p               	3.91579117e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94762506e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
2.44            	p               	3.89903601e-01	(5.35157052e-01 8.54582238e-02 3.39696596e-19)	2	1.94374450e+00	(2.73429996e-02 8.55624250e-03 1.02607584e-18)	3
