# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
2.8             	p               	3.90758122e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95150541e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.82            	p               	3.91106243e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95150304e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.84            	p               	3.92923991e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95148451e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.86            	p               	3.95592200e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95145107e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.88            	p               	3.97739254e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95140868e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.9             	p               	3.97650213e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95136590e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.92            	p               	3.93519435e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95133057e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.94            	p               	3.92647949e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95130696e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.96            	p               	3.91511902e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95129438e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
2.98            	p               	3.91148633e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128835e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3               	p               	3.91808697e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95128369e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3.02            	p               	3.93364366e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95127788e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3.04            	p               	3.95422669e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95127250e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3.06            	p               	3.97052706e-01	(7.81299420e-01 6.75987467e-02 -1.23816138e-18)	0	1.95127176e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3.08            	p               	3.96975399e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95127915e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
3.1             	p               	3.92831761e-01	(7.18799894e-01 7.83435919e-02 -4.21203696e-19)	13	1.95129421e+00	(2.18700580e-01 6.75987467e-02 5.27080384e-19)	12
