# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.14            	3.61686720e-02	1.80843360e-02	1.80843360e-02	-4.03481034e-01	-1.51008508e-01	-2.52472526e-01	5.07320089e-02	1.86647472e-19	1.67313718e-20	0.00000000e+00	1.67313718e-20	-1.67313718e-20
1.16            	3.61600337e-02	1.80800168e-02	1.80800168e-02	-4.03610526e-01	-1.51011681e-01	-2.52598845e-01	5.07935816e-02	1.86707375e-19	1.67273758e-20	0.00000000e+00	1.67273758e-20	-1.67273758e-20
1.18            	3.61346113e-02	1.80673057e-02	1.80673057e-02	-4.03709047e-01	-1.50991069e-01	-2.52717978e-01	5.08634543e-02	1.86752949e-19	1.67156156e-20	0.00000000e+00	1.67156156e-20	-1.67156156e-20
1.2             	3.61105776e-02	1.80552888e-02	1.80552888e-02	-4.03711539e-01	-1.50947175e-01	-2.52764364e-01	5.09085948e-02	1.86754103e-19	1.67044978e-20	0.00000000e+00	1.67044978e-20	-1.67044978e-20
1.22            	3.61039398e-02	1.80519699e-02	1.80519699e-02	-4.03687323e-01	-1.50923091e-01	-2.52764232e-01	5.09205703e-02	1.86742900e-19	1.67014272e-20	0.00000000e+00	1.67014272e-20	-1.67014272e-20
1.24            	3.61075093e-02	1.80537546e-02	1.80537546e-02	-4.03706160e-01	-1.50927573e-01	-2.52778587e-01	5.09255068e-02	1.86751614e-19	1.67030784e-20	0.00000000e+00	1.67030784e-20	-1.67030784e-20
1.26            	3.61089380e-02	1.80544690e-02	1.80544690e-02	-4.03751797e-01	-1.50937416e-01	-2.52814381e-01	5.09384824e-02	1.86772726e-19	1.67037393e-20	0.00000000e+00	1.67037393e-20	-1.67037393e-20
1.28            	3.61084210e-02	1.80542105e-02	1.80542105e-02	-4.03797009e-01	-1.50942663e-01	-2.52854345e-01	5.09558410e-02	1.86793640e-19	1.67035002e-20	0.00000000e+00	1.67035002e-20	-1.67035002e-20
1.3             	3.61092881e-02	1.80546440e-02	1.80546440e-02	-4.03867160e-01	-1.50949932e-01	-2.52917228e-01	5.09836482e-02	1.86826092e-19	1.67039013e-20	0.00000000e+00	1.67039013e-20	-1.67039013e-20
1.32            	3.61142760e-02	1.80571380e-02	1.80571380e-02	-4.03876121e-01	-1.50951573e-01	-2.52924548e-01	5.09864873e-02	1.86830237e-19	1.67062086e-20	0.00000000e+00	1.67062086e-20	-1.67062086e-20
1.34            	3.61105676e-02	1.80552838e-02	1.80552838e-02	-4.03833640e-01	-1.50942555e-01	-2.52891085e-01	5.09742653e-02	1.86810586e-19	1.67044931e-20	0.00000000e+00	1.67044931e-20	-1.67044931e-20
1.36            	3.60953250e-02	1.80476625e-02	1.80476625e-02	-4.03832527e-01	-1.50924070e-01	-2.52908457e-01	5.09921933e-02	1.86810071e-19	1.66974420e-20	0.00000000e+00	1.66974420e-20	-1.66974420e-20
