# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.22            	3.63169861e-02	1.81584931e-02	1.81584931e-02	-4.03465065e-01	-1.50821486e-01	-2.52643579e-01	5.09110466e-02	-3.28714345e-20	-3.03789532e-21	0.00000000e+00	-3.03789532e-21	3.03789532e-21
1.24            	3.63086054e-02	1.81543027e-02	1.81543027e-02	-4.03449554e-01	-1.50801900e-01	-2.52647654e-01	5.09228768e-02	-3.28490669e-20	-3.03655094e-21	0.00000000e+00	-3.03655094e-21	3.03655094e-21
1.26            	3.63160332e-02	1.81580166e-02	1.81580166e-02	-4.03493615e-01	-1.50825889e-01	-2.52667725e-01	5.09209181e-02	-3.28608951e-20	-3.04050581e-21	0.00000000e+00	-3.04050581e-21	3.04050581e-21
1.28            	3.63116316e-02	1.81558158e-02	1.81558158e-02	-4.03476412e-01	-1.50810470e-01	-2.52665942e-01	5.09277356e-02	-3.28382237e-20	-3.03662334e-21	0.00000000e+00	-3.03662334e-21	3.03662334e-21
1.3             	3.63118730e-02	1.81559365e-02	1.81559365e-02	-4.03490017e-01	-1.50820982e-01	-2.52669036e-01	5.09240269e-02	-3.28748486e-20	-3.04088548e-21	0.00000000e+00	-3.04088548e-21	3.04088548e-21
1.32            	3.63115506e-02	1.81557753e-02	1.81557753e-02	-4.03495215e-01	-1.50816361e-01	-2.52678853e-01	5.09312460e-02	-3.28706167e-20	-3.03656280e-21	0.00000000e+00	-3.03656280e-21	3.03656280e-21
1.34            	3.63049468e-02	1.81524734e-02	1.81524734e-02	-4.03472408e-01	-1.50803459e-01	-2.52668950e-01	5.09327457e-02	-3.28771690e-20	-3.03400286e-21	0.00000000e+00	-3.03400286e-21	3.03400286e-21
1.36            	3.63119413e-02	1.81559707e-02	1.81559707e-02	-4.03508871e-01	-1.50823857e-01	-2.52685014e-01	5.09305783e-02	-3.28900300e-20	-3.03500334e-21	0.00000000e+00	-3.03500334e-21	3.03500334e-21
1.38            	3.63070281e-02	1.81535141e-02	1.81535141e-02	-4.03483759e-01	-1.50807741e-01	-2.52676018e-01	5.09341384e-02	-3.28665075e-20	-3.03115089e-21	0.00000000e+00	-3.03115089e-21	3.03115089e-21
1.4             	3.63120352e-02	1.81560176e-02	1.81560176e-02	-4.03507885e-01	-1.50827377e-01	-2.52680508e-01	5.09265657e-02	-3.28920122e-20	-3.03777819e-21	0.00000000e+00	-3.03777819e-21	3.03777819e-21
1.42            	3.63116401e-02	1.81558201e-02	1.81558201e-02	-4.03494902e-01	-1.50815866e-01	-2.52679036e-01	5.09315848e-02	-3.28570668e-20	-3.03690718e-21	0.00000000e+00	-3.03690718e-21	3.03690718e-21
1.44            	3.63074664e-02	1.81537332e-02	1.81537332e-02	-4.03471483e-01	-1.50805974e-01	-2.52665509e-01	5.09297671e-02	-3.28594809e-20	-3.03990904e-21	0.00000000e+00	-3.03990904e-21	3.03990904e-21
1.46            	3.63124560e-02	1.81562280e-02	1.81562280e-02	-4.03496354e-01	-1.50817109e-01	-2.52679245e-01	5.09310682e-02	-3.28653995e-20	-3.03926238e-21	0.00000000e+00	-3.03926238e-21	3.03926238e-21
1.48            	3.63055596e-02	1.81527798e-02	1.81527798e-02	-4.03475432e-01	-1.50802131e-01	-2.52673301e-01	5.09355848e-02	-3.28559199e-20	-3.03361186e-21	0.00000000e+00	-3.03361186e-21	3.03361186e-21
1.5             	3.63118442e-02	1.81559221e-02	1.81559221e-02	-4.03518363e-01	-1.50829396e-01	-2.52688967e-01	5.09297854e-02	-3.28930201e-20	-3.03613653e-21	0.00000000e+00	-3.03613653e-21	3.03613653e-21
1.52            	3.63088862e-02	1.81544431e-02	1.81544431e-02	-4.03505433e-01	-1.50816725e-01	-2.52688708e-01	5.09359914e-02	-3.28758228e-20	-3.03140655e-21	0.00000000e+00	-3.03140655e-21	3.03140655e-21
1.54            	3.63070551e-02	1.81535275e-02	1.81535275e-02	-4.03494629e-01	-1.50815485e-01	-2.52679143e-01	5.09318290e-02	-3.28957123e-20	-3.03580543e-21	0.00000000e+00	-3.03580543e-21	3.03580543e-21
1.56            	3.63106302e-02	1.81553151e-02	1.81553151e-02	-4.03501049e-01	-1.50816273e-01	-2.52684776e-01	5.09342519e-02	-3.28830312e-20	-3.03584198e-21	0.00000000e+00	-3.03584198e-21	3.03584198e-21
1.58            	3.63052325e-02	1.81526162e-02	1.81526162e-02	-4.03468602e-01	-1.50799449e-01	-2.52669154e-01	5.09348526e-02	-3.28531823e-20	-3.03584179e-21	0.00000000e+00	-3.03584179e-21	3.03584179e-21
1.6             	3.63139618e-02	1.81569809e-02	1.81569809e-02	-4.03505346e-01	-1.50824484e-01	-2.52680862e-01	5.09281892e-02	-3.28615718e-20	-3.04038332e-21	0.00000000e+00	-3.04038332e-21	3.04038332e-21
1.62            	3.63095987e-02	1.81547993e-02	1.81547993e-02	-4.03487826e-01	-1.50810158e-01	-2.52677669e-01	5.09337556e-02	-3.28456974e-20	-3.03529829e-21	0.00000000e+00	-3.03529829e-21	3.03529829e-21
1.64            	3.63095837e-02	1.81547918e-02	1.81547918e-02	-4.03503213e-01	-1.50821529e-01	-2.52681684e-01	5.09300771e-02	-3.28887947e-20	-3.03843524e-21	0.00000000e+00	-3.03843524e-21	3.03843524e-21
1.66            	3.63095303e-02	1.81547652e-02	1.81547652e-02	-4.03506707e-01	-1.50816867e-01	-2.52689840e-01	5.09364867e-02	-3.28843115e-20	-3.03413453e-21	0.00000000e+00	-3.03413453e-21	3.03413453e-21
1.68            	3.63034902e-02	1.81517451e-02	1.81517451e-02	-4.03480748e-01	-1.50803454e-01	-2.52677294e-01	5.09369195e-02	-3.28849294e-20	-3.03265728e-21	0.00000000e+00	-3.03265728e-21	3.03265728e-21
1.7             	3.63113743e-02	1.81556871e-02	1.81556871e-02	-4.03511964e-01	-1.50822995e-01	-2.52688969e-01	5.09329868e-02	-3.28892668e-20	-3.03513464e-21	0.00000000e+00	-3.03513464e-21	3.03513464e-21
1.72            	3.63069655e-02	1.81534828e-02	1.81534828e-02	-4.03483947e-01	-1.50806231e-01	-2.52677716e-01	5.09357423e-02	-3.28591537e-20	-3.03244616e-21	0.00000000e+00	-3.03244616e-21	3.03244616e-21
1.74            	3.63124994e-02	1.81562497e-02	1.81562497e-02	-4.03505370e-01	-1.50825256e-01	-2.52680114e-01	5.09274291e-02	-3.28751045e-20	-3.04075029e-21	0.00000000e+00	-3.04075029e-21	3.04075029e-21
1.76            	3.63117982e-02	1.81558991e-02	1.81558991e-02	-4.03493976e-01	-1.50814019e-01	-2.52679957e-01	5.09329694e-02	-3.28507420e-20	-3.03800408e-21	0.00000000e+00	-3.03800408e-21	3.03800408e-21
1.78            	3.63064234e-02	1.81532117e-02	1.81532117e-02	-4.03477545e-01	-1.50805926e-01	-2.52671619e-01	5.09328464e-02	-3.28695016e-20	-3.03816433e-21	0.00000000e+00	-3.03816433e-21	3.03816433e-21
1.8             	3.63106050e-02	1.81553025e-02	1.81553025e-02	-4.03506834e-01	-1.50818340e-01	-2.52688494e-01	5.09350767e-02	-3.28831151e-20	-3.03614112e-21	0.00000000e+00	-3.03614112e-21	3.03614112e-21
1.82            	3.63040887e-02	1.81520444e-02	1.81520444e-02	-4.03483685e-01	-1.50803102e-01	-2.52680582e-01	5.09387399e-02	-3.28714713e-20	-3.03088035e-21	0.00000000e+00	-3.03088035e-21	3.03088035e-21
1.84            	3.63115527e-02	1.81557764e-02	1.81557764e-02	-4.03520015e-01	-1.50829344e-01	-2.52690671e-01	5.09306635e-02	-3.28975022e-20	-3.03533160e-21	0.00000000e+00	-3.03533160e-21	3.03533160e-21
1.86            	3.63095531e-02	1.81547765e-02	1.81547765e-02	-4.03501572e-01	-1.50815538e-01	-2.52686035e-01	5.09352486e-02	-3.28708536e-20	-3.03226563e-21	0.00000000e+00	-3.03226563e-21	3.03226563e-21
