# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.86            	3.63082438e-02	1.81541219e-02	1.81541219e-02	-4.06017346e-01	-1.52160337e-01	-2.53857009e-01	5.08483361e-02	1.87820753e-19	1.67959368e-20	0.00000000e+00	1.67959368e-20	-1.67959368e-20
1.88            	3.63034342e-02	1.81517171e-02	1.81517171e-02	-4.06040541e-01	-1.52152888e-01	-2.53887653e-01	5.08673829e-02	1.87831482e-19	1.67937119e-20	0.00000000e+00	1.67937119e-20	-1.67937119e-20
1.9             	3.63024100e-02	1.81512050e-02	1.81512050e-02	-4.06043441e-01	-1.52147969e-01	-2.53895472e-01	5.08737518e-02	1.87832824e-19	1.67932381e-20	0.00000000e+00	1.67932381e-20	-1.67932381e-20
1.92            	3.63055558e-02	1.81527779e-02	1.81527779e-02	-4.06024559e-01	-1.52147792e-01	-2.53876767e-01	5.08644878e-02	1.87824089e-19	1.67946933e-20	0.00000000e+00	1.67946933e-20	-1.67946933e-20
1.94            	3.63112576e-02	1.81556288e-02	1.81556288e-02	-4.05992932e-01	-1.52152679e-01	-2.53840254e-01	5.08437875e-02	1.87809459e-19	1.67973309e-20	0.00000000e+00	1.67973309e-20	-1.67973309e-20
1.96            	3.63170426e-02	1.81585213e-02	1.81585213e-02	-4.05961755e-01	-1.52160962e-01	-2.53800793e-01	5.08199156e-02	1.87795036e-19	1.68000070e-20	0.00000000e+00	1.68000070e-20	-1.68000070e-20
1.98            	3.63206429e-02	1.81603215e-02	1.81603215e-02	-4.05942764e-01	-1.52169426e-01	-2.53773338e-01	5.08019558e-02	1.87786251e-19	1.68016725e-20	0.00000000e+00	1.68016725e-20	-1.68016725e-20
2               	3.63203304e-02	1.81601652e-02	1.81601652e-02	-4.05944891e-01	-1.52174233e-01	-2.53770658e-01	5.07982126e-02	1.87787235e-19	1.68015279e-20	0.00000000e+00	1.68015279e-20	-1.68015279e-20
2.02            	3.63153149e-02	1.81576574e-02	1.81576574e-02	-4.05972396e-01	-1.52172211e-01	-2.53800185e-01	5.08139868e-02	1.87799959e-19	1.67992078e-20	0.00000000e+00	1.67992078e-20	-1.67992078e-20
2.04            	3.63070744e-02	1.81535372e-02	1.81535372e-02	-4.06017375e-01	-1.52163244e-01	-2.53854132e-01	5.08454441e-02	1.87820766e-19	1.67953958e-20	0.00000000e+00	1.67953958e-20	-1.67953958e-20
