# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
3.7066667       	rho             	2.09489392e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.69101330e+00	(6.87500000e-01 8.62500000e-01 -3.77001189e-18)	7
3.7066667       	p               	1.73048618e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.26556998e+01	(6.87500000e-01 8.62500000e-01 -3.77001189e-18)	7
3.8375          	mag(U)          	4.12403797e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.06900774e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
3.8375          	rho             	1.74411791e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.75959891e+00	(6.87500000e-01 8.37500000e-01 1.50298530e-17)	7
3.8375          	p               	1.36339994e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.21018820e+01	(6.87500000e-01 8.37500000e-01 1.50298530e-17)	7
3.96875         	mag(U)          	4.15366896e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07285630e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
3.96875         	rho             	1.74972764e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.46347319e+00	(6.87500000e-01 8.37500000e-01 1.50298530e-17)	7
3.96875         	p               	1.30519922e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19652722e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
4.1             	mag(U)          	4.23411263e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07427721e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.1             	rho             	1.89023108e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.60568328e+00	(6.62500000e-01 8.37500000e-01 1.95423426e-17)	3
4.1             	p               	1.31134489e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.23852278e+01	(6.62500000e-01 8.37500000e-01 1.95423426e-17)	3
4.2306667       	mag(U)          	4.31948507e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07473944e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.2306667       	rho             	2.02990707e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.69766678e+00	(6.62500000e-01 8.12500000e-01 -2.10540015e-17)	3
4.2306667       	p               	1.45471070e-01	(6.62500000e-01 2.12500000e-01 -6.98708067e-20)	5	1.20843325e+01	(6.62500000e-01 8.37500000e-01 1.95423426e-17)	3
4.3613333       	mag(U)          	4.38383472e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07457936e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.3613333       	rho             	2.15491549e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.59172035e+00	(6.62500000e-01 8.12500000e-01 -2.10540015e-17)	3
4.3613333       	p               	1.56786215e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19871222e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
4.492           	mag(U)          	4.42131628e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07445088e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.492           	rho             	2.12787167e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.27821553e+00	(6.37500000e-01 8.12500000e-01 -3.09419253e-18)	3
4.492           	p               	1.61982414e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19939980e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
4.6226667       	mag(U)          	4.44375487e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07429136e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.6226667       	rho             	1.80633771e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.37065894e+00	(6.37500000e-01 8.12500000e-01 -3.09419253e-18)	3
4.6226667       	p               	1.38075113e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19982531e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
4.75375         	mag(U)          	4.45722947e-02	(6.00000000e-01 1.25000000e-02 -1.15648232e-19)	1	3.07440763e+00	(3.12500000e-01 2.37500000e-01 3.32348122e-18)	0
4.75375         	rho             	1.67191587e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	6.64310323e+00	(6.37500000e-01 7.87500000e-01 -1.20466908e-21)	3
4.75375         	p               	1.21857521e-01	(6.87500000e-01 2.12500000e-01 5.59859916e-18)	5	1.19998782e+01	(5.87500000e-01 1.25000000e-02 3.08596063e-19)	1
