# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.94            	p               	4.94158005e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.59736573e+01	(9.92187500e-01 9.98437500e-01 1.06372280e-18)	0
0.96            	mag(U)          	4.55861143e-03	(5.98437500e-01 0.00000000e+00 1.40223481e-18)	7	3.71148530e+00	(6.42187500e-01 2.07812500e-01 1.46078775e-16)	6
0.96            	rho             	6.16315703e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	9.09708174e+00	(9.82812500e-01 9.98437500e-01 4.46329894e-19)	0
0.96            	p               	1.34609159e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	1.62531515e+01	(9.82812500e-01 9.98437500e-01 4.46329894e-19)	0
0.98            	mag(U)          	5.93979411e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.68058539e+00	(6.26562500e-01 2.10937500e-01 -4.42454875e-18)	6
0.98            	rho             	1.30051196e-02	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	9.20488529e+00	(9.76562500e-01 9.98437500e-01 -3.13615517e-19)	0
0.98            	p               	2.88317647e-03	(6.10937500e-01 2.01562500e-01 -3.11045557e-18)	6	1.66491625e+01	(9.76562500e-01 9.98437500e-01 -3.13615517e-19)	0
1               	mag(U)          	6.00012999e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.69085474e+00	(6.48437500e-01 2.07812500e-01 3.60824491e-17)	6
1               	rho             	5.40815524e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	9.30159700e+00	(9.67187500e-01 9.98437500e-01 1.48301389e-16)	0
1               	p               	1.74772245e-03	(6.17187500e-01 2.01562500e-01 4.45727560e-20)	6	1.67998181e+01	(9.67187500e-01 9.98437500e-01 1.48301389e-16)	0
1.02            	mag(U)          	5.83294764e-03	(6.00000000e-01 1.56250000e-03 -1.15648232e-19)	7	3.70711832e+00	(6.29687500e-01 2.07812500e-01 1.42150952e-19)	6
1.02            	rho             	9.58614392e-03	(6.14062500e-01 2.01562500e-01 -1.20466908e-21)	6	9.43838474e+00	(9.60937500e-01 9.98437500e-01 1.50178665e-16)	0
